name,isin,symbol
OHB SE   O.N.,DE0005936124,OHB
MAN SE ST O.N.,DE0005937007,MAN
MAN SE VZO O.N.,DE0005937031,MAN3
RINGMETALL AG O.N.,DE0006001902,HP3
HAMBORNER REIT AG O.N.,DE0006013006,HAB
HAWESKO HOLDING AG    SVG,DE0006042708,HAW
MATERNUS-KLI.AG O.N.,DE0006044001,MAK
BIOFRONTERA AG NA O.N.,DE0006046113,B8F
HEIDELBERGCEMENT AG O.N.,DE0006047004,HEI
HENKEL AG+CO.KGAA ST O.N.,DE0006048408,HEN
HENKEL AG+CO.KGAA VZO,DE0006048432,HEN3
PELIKAN AG  O.N.,DE0006053101,HEZ
KONTRON AG O.N.,DE0006053952,KBC
HMS BERGBAU AG,DE0006061104,HMU
COVESTRO AG  O.N.,DE0006062144,1COV
HOCHTIEF AG,DE0006070006,HOT
HORNBACH HOLD.ST O.N.,DE0006083405,HBH
HORNBACH BAUMARKT AG O.N.,DE0006084403,HBM
CAPITAL STAGE AG,DE0006095003,CAP
HAEMATO AG O.N.,DE0006190705,HAE
INDUS HOLDING AG,DE0006200108,INH
FRIWO AG O.N.,DE0006201106,CEA
SALZGITTER AG O.N.,DE0006202005,SZG
KUKA AG,DE0006204407,KU2
MVISE AG O.N.,DE0006204589,C1V
MUELLER-DIE LILA LOGISTIK,DE0006214687,MLL
JUNGHEINRICH AG O.N.VZO,DE0006219934,JUN3
PROCREDIT HLDG AG NA EO 5,DE0006223407,PCZ
INTERTAINMENT O.N.,DE0006223605,ITN
JENOPTIK AG O.N.,DE0006229107,JEN
INFINEON TECH.AG NA O.N.,DE0006231004,IFX
ARCANDOR AG O.N.,DE0006275001,ARO
OVB HOLDING AG,DE0006286560,O4B
ISHS ESTXX BNKS.30-15 UC.,DE0006289309,EXX1
ISHS ESTXX TELEC.30-15UC.,DE0006289317,EXX2
IS.DJ GLOB.TITAN.50 U.ETF,DE0006289382,EXI2
IS.DJ INDUST.AVERAG.U.ETF,DE0006289390,EXI3
ISH.EB.REXX GOV.GER.U.ETF,DE0006289465,EXHA
I.EB.R.G.G.1.5-2.5Y U.ETF,DE0006289473,EXHB
I.EB.R.GO.G.2.5-5.5 U.ETF,DE0006289481,EXHC
I.EB.R.G.G.5.5-10.5 U.ETF,DE0006289499,EXHD
KSB AG O.N. ST,DE0006292006,KSB
KSB AG O.N. VZO,DE0006292030,KSB3
DEUTZ AG O.N.,DE0006305006,DEZ
KRONES AG O.N.,DE0006335003,KRN
LPKF LASER+ELECTRON.,DE0006450000,LPK
NEMETSCHEK SE O.N.,DE0006452907,NEM
LANG+SCHWARZ AG NA,DE0006459324,LUS
LEIFHEIT AG O.N.,DE0006464506,LEI
LINDE AG O.N.,DE0006483001,LIN
ALBIS LEASING AG O.N.,DE0006569403,ALG
MLP AG,DE0006569908,MLP
NANOREPRO AG,DE0006577109,NN6
KHD HUMBOLDT WEDAG O.N.,DE0006578008,KWG
MENSCH UND MASCH.O.N.,DE0006580806,MUM
MEDICLIN AG,DE0006595101,MED
MERCK KGAA O.N.,DE0006599905,MRK
GEA GROUP AG,DE0006602006,G1A
MEDION AG O.N.,DE0006605009,MDN
MEDICAL COLUMBUS O.N.,DE0006618309,MCE
MUEHLBAUER HOLD.AG O.N.,DE0006627201,MUB
MORPHOSYS AG O.N.,DE0006632003,MOR
VA-Q-TEC AG NA O.N.,DE0006636681,VQT
MOLOGEN AG,DE0006637200,MGN
MWB FAIRTRADE WPHDLSBK AG,DE0006656101,MWB
AUDI AG O.N.,DE0006757008,NSU
AURUBIS AG,DE0006766504,NDA
PFEIFFER VACUUM TECH.O.N.,DE0006916604,PFV
PA POWER AUTOM.AG,DE0006924400,PPA
SCHERZER U. CO. AG O.N.,DE0006942808,PZS
NIIIO FINANCE GROUP AG,DE0006946106,NIII
